update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,1800,929.9161199890624,2,0.15788000226020812,0.32033303478523023,0.0,0.9100000262260437,55.6,43.31789468568388,5.0,162.0,1.098574916521708,0.04515286597112815,0.008204620176305374,0.00018516625535388206,0.02418784693194294,0.15788000226020812,0.32033303478523023,0.0,0.9100000262260437
10,3600,943.062382230361,4,0.0852400004863739,0.25572000145912166,0.0,0.852400004863739,208.3,67.94416825600267,41.0,250.0,1.098566641410192,0.03185765678063035,0.006182037099885443,0.0001263413147777707,0.015318997113186291,0.0852400004863739,0.25572000145912166,0.0,0.852400004863739
15,5400,984.7408577445289,6,0.28091999888420105,0.4292100277575065,0.0,0.9531999826431274,111.6,101.41617228036168,6.0,250.0,1.0985659758249917,0.04323241238792737,0.010675632045604289,0.00020152718570898287,0.031699292423366617,0.28091999888420105,0.4292100277575065,0.0,0.9531999826431274
20,7200,1006.7195378802577,8,0.34232000112533567,0.35092553455739883,0.0,0.8307999968528748,130.2,84.05331641285784,17.0,250.0,1.098533888657888,0.05045910303791364,-0.030567810327435534,0.01344773897593162,0.09848780127357455,0.34232000112533567,0.35092553455739883,0.0,0.8307999968528748
25,9000,1088.754048714362,9,0.23475999981164933,0.34634934754381735,0.0,0.9747999906539917,128.2,103.47734051472332,7.0,250.0,1.0985424717267356,0.05181501246988773,0.007670539819325009,0.00013991032816799512,0.020207730747822877,0.23475999981164933,0.34634934754381735,0.0,0.9747999906539917
30,10800,913.346213357561,11,0.44311999082565307,0.45254439959210524,0.0,0.9855999946594238,114.8,110.04708083361412,4.0,250.0,1.098562995592753,0.06733098005255063,-0.04722806595964357,0.01309861238890638,0.12947773308622018,0.44311999082565307,0.45254439959210524,0.0,0.9855999946594238
35,12600,933.7015332387233,13,0.19092000126838685,0.29582233021291576,0.0,0.7192000150680542,164.6,88.46377789807532,8.0,250.0,1.098557859659195,0.0585381972293059,-0.02799250492050002,0.011198674258897276,0.07360516297784829,0.19092000126838685,0.29582233021291576,0.0,0.7192000150680542
40,14400,908.3134760937122,15,0.2800399988889694,0.310790550259409,0.0,0.8019999861717224,161.5,73.10984885772915,55.0,250.0,1.098576843738556,0.06950865189234415,0.006005081842886284,0.00031144627466043556,0.021075323550131787,0.2800399988889694,0.310790550259409,0.0,0.8019999861717224
45,16200,863.9390301816621,17,0.1531200021505356,0.255827997368382,0.0,0.6976000070571899,152.1,95.64983010962435,5.0,250.0,1.0984945197900138,0.08252177822093168,0.007342152452717225,0.00020815901010943585,0.01978897841947426,0.1531200021505356,0.255827997368382,0.0,0.6976000070571899
50,18000,942.253784274069,19,0.38695999681949617,0.45218265606256913,0.0,0.9819999933242798,156.4,113.94753178546695,5.0,250.0,1.0985321700572968,0.08038344420492649,-0.007594442266660432,0.007922600254460122,0.051781561282186125,0.38695999681949617,0.45218265606256913,0.0,0.9819999933242798
55,19800,876.1055052019781,21,0.40423999428749086,0.42487739479971764,0.0,0.9891999959945679,118.9,99.77319279245302,3.0,250.0,1.0985330442587535,0.08602054789662361,0.00979157081261898,0.001095512280244293,0.03063663695414917,0.40423999428749086,0.42487739479971764,0.0,0.9891999959945679
60,21600,1150.254504235135,22,0.3862399965524673,0.41142480609758003,0.0,0.9603999853134155,125.5,99.6747209677559,5.0,250.0,1.0985644261042276,0.08913465154667696,0.006199405121151358,0.0003827992968581384,0.027356036812199495,0.3862399965524673,0.41142480609758003,0.0,0.9603999853134155
